id,name,initials,era,country,tier,power,accuracy,approach,shortgame,putting,clutch,mental,consistency,scrambling,management,wedge,creativity
47,Lanny Wadkins,LW,Classic,US,2,80,78,85,86,82,90,88,80,86,82,84,82
48,Mark O'Meara,MO,Classic,US,2,76,82,85,88,87,84,84,84,83,84,86,80
49,Hal Sutton,HS,Classic,US,2,84,76,84,82,80,86,82,78,80,78,78,74
50,Fuzzy Zoeller,FZ,Classic,US,2,78,80,85,88,83,86,84,80,86,82,84,82
51,Sergio Garcia,SG,Modern,ES,3,86,78,90,88,80,82,78,82,87,80,87,86
52,Lee Westwood,LW,Modern,ENG,3,84,83,89,83,80,78,80,86,80,83,82,78
53,Sandy Lyle,SL,Classic,SCO,3,82,78,86,85,84,88,84,82,84,83,84,82
54,Ian Woosnam,IW,Classic,WAL,3,82,80,86,87,86,86,84,84,84,83,85,83
55,John Daly,JD,Modern,US,3,99,62,80,82,80,82,70,68,83,65,83,85
56,Bubba Watson,BW,Modern,US,3,96,66,82,84,82,84,74,72,88,70,83,96
57,Tommy Fleetwood,TF,Modern,ENG,3,80,84,91,84,82,80,80,82,78,82,83,78
58,Patrick Cantlay,PC,Modern,US,3,82,82,87,85,90,82,82,84,80,84,82,76
59,Matt Fitzpatrick,MF,Modern,ENG,3,78,84,86,86,82,82,82,82,86,82,84,78
60,Viktor Hovland,VH,Modern,NO,3,84,82,88,80,80,78,80,82,74,80,78,78
61,Hideki Matsuyama,HM,Modern,JP,3,86,80,90,84,82,82,80,82,78,80,82,78
62,Patrick Reed,PR,Modern,US,3,80,76,83,88,84,88,84,78,86,80,86,80
63,Shane Lowry,SL,Modern,IE,3,82,80,85,85,82,84,84,78,82,82,82,76
64,Zach Johnson,ZJ,Modern,US,3,72,84,83,88,85,86,86,82,84,88,86,78
65,Graeme McDowell,GM,Modern,GB,3,78,80,82,84,84,84,82,80,82,82,82,76
66,Martin Kaymer,MK,Modern,DE,3,80,84,88,82,80,84,82,80,76,82,80,74
67,Charl Schwartzel,CS,Modern,ZA,3,80,80,84,85,82,82,80,78,82,80,82,78
68,Angel Cabrera,AC,Classic,AR,3,88,72,84,82,80,82,78,72,80,74,78,78
69,Ian Poulter,IP,Modern,ENG,3,78,78,80,84,82,90,84,74,82,78,80,76
70,Luke Donald,LD,Modern,ENG,3,74,84,82,90,85,78,82,82,82,84,88,78
71,David Duval,DD,Classic,US,3,84,82,88,82,84,82,78,76,78,80,80,78
72,Danny Willett,DW,Modern,ENG,3,78,80,84,83,80,80,78,76,78,78,80,74
73,Darren Clarke,DC,Classic,GB,3,82,78,82,84,80,82,80,74,80,80,80,76
74,Paul Casey,PC,Modern,ENG,3,84,82,86,82,80,78,78,80,76,78,78,76
75,Corey Pavin,CP,Classic,US,3,68,84,83,88,84,86,84,82,86,86,86,80
76,Lucas Glover,LG,Modern,US,4,80,76,80,78,78,78,76,72,74,74,74,68
77,Rich Beem,RB,Modern,US,4,80,74,78,76,76,78,72,68,72,70,72,68
78,Ben Curtis,BC,Modern,US,4,76,76,76,80,78,76,74,68,76,72,76,70
79,Todd Hamilton,TH,Classic,US,4,74,74,76,80,76,76,72,68,76,72,74,72
80,Michael Campbell,MC,Modern,NZ,4,78,78,78,76,78,80,76,68,72,72,74,70
81,Shaun Micheel,SM,Modern,US,4,76,74,80,74,74,76,72,66,70,70,76,68
82,YE Yang,YY,Modern,KR,4,78,76,80,80,76,82,80,70,78,76,76,72
83,Bob Tway,BT,Classic,US,4,78,78,80,84,76,78,74,70,82,72,80,74
84,Larry Mize,LM,Classic,US,4,72,78,76,84,76,78,74,70,82,74,78,74
85,Bob May,BM,Modern,US,4,76,78,78,78,76,78,76,70,74,72,74,70
86,Chris DiMarco,CD,Modern,US,4,76,76,78,82,76,76,74,72,78,72,78,70
87,Tom Lehman,TL,Classic,US,4,78,82,82,78,76,78,78,76,72,78,76,70
88,Steve Jones,SJ,Classic,US,4,76,76,76,76,76,76,72,68,72,70,72,66
89,Davis Love III,DL,Classic,US,4,86,78,82,78,78,78,76,74,72,76,74,72
90,Mark Calcavecchia,MC,Classic,US,4,80,74,78,80,74,76,72,70,76,68,74,72
91,Jesper Parnevik,JP,Classic,SE,4,76,80,82,80,74,72,72,72,74,74,76,78
92,Tony Jacklin,TJ,Classic,ENG,4,78,80,84,80,80,82,80,74,76,78,76,74
93,Roberto De Vicenzo,RD,Classic,AR,4,80,78,82,80,78,76,72,76,76,74,74,72
94,Wayne Grady,WG,Classic,AU,4,74,76,76,76,74,72,70,70,72,70,72,66
95,Mark Brooks,MB,Classic,US,4,76,76,76,76,76,74,70,68,72,70,72,66
96,Billy Mayfair,BM,Modern,US,4,72,78,76,80,80,70,70,72,74,72,74,68
97,Kenny Perry,KP,Classic,US,4,80,76,78,76,76,70,68,72,72,72,72,66
98,Bob Charles,BC,Classic,NZ,4,70,78,78,80,88,78,78,76,74,78,74,70
99,John Mahaffey,JM,Classic,US,4,72,76,76,78,76,74,70,68,72,70,72,66
100,Justin Leonard,JL,Classic,US,4,72,80,78,82,84,80,78,72,78,76,76,70
